model,tag,precision,recall,f1
model103_95,Overall,0,0.0,0
model103_95,LOC,0,0.0,0
model103_95,ORG,0,0.0,0
model103_95,PER,0,0.0,0
model11736_75,Overall,0.7539,0.6167,0.6785
model11736_75,LOC,0.6514,0.4702,0.5462
model11736_75,ORG,0.6589,0.4965,0.5663
model11736_75,PER,0.9243,0.9194,0.9218
model13000_60,Overall,0.7452,0.6806,0.7114
model13000_60,LOC,0.6,0.5166,0.5552
model13000_60,ORG,0.6789,0.588,0.6302
model13000_60,PER,0.9275,0.9521,0.9396
model13000_65,Overall,0.7725,0.703,0.7361
model13000_65,LOC,0.6744,0.5762,0.6214
model13000_65,ORG,0.7125,0.6021,0.6527
model13000_65,PER,0.9091,0.9574,0.9326
model13000_70,Overall,0.7747,0.6688,0.7179
model13000_70,LOC,0.6587,0.5497,0.5993
model13000_70,ORG,0.7149,0.5563,0.6257
model13000_70,PER,0.9211,0.9358,0.9284
model1556_85,Overall,0.5723,0.1465,0.2333
model1556_85,LOC,0.0588,0.0066,0.0119
model1556_85,ORG,0.8485,0.0986,0.1767
model1556_85,PER,0.5688,0.3333,0.4203
model19500_60,Overall,0.7413,0.6806,0.7096
model19500_60,LOC,0.6378,0.5364,0.5827
model19500_60,ORG,0.652,0.5739,0.6105
model19500_60,PER,0.9231,0.9574,0.9399
model19500_65,Overall,0.736,0.6758,0.7046
model19500_65,LOC,0.5954,0.5166,0.5532
model19500_65,ORG,0.6721,0.5775,0.6212
model19500_65,PER,0.9086,0.9521,0.9299
model19500_70,Overall,0.7394,0.6479,0.6907
model19500_70,LOC,0.5833,0.5099,0.5442
model19500_70,ORG,0.6756,0.5352,0.5972
model19500_70,PER,0.9255,0.9305,0.928
model23282_70,Overall,0.7698,0.6559,0.7083
model23282_70,LOC,0.68,0.5629,0.6159
model23282_70,ORG,0.6835,0.5246,0.5936
model23282_70,PER,0.9305,0.9305,0.9305
model26000_60,Overall,0.7487,0.6934,0.72
model26000_60,LOC,0.7,0.6026,0.6477
model26000_60,ORG,0.6573,0.5739,0.6128
model26000_60,PER,0.8945,0.9468,0.9199
model26000_65,Overall,0.7518,0.6661,0.7064
model26000_65,LOC,0.5938,0.5033,0.5448
model26000_65,ORG,0.7,0.5669,0.6265
model26000_65,PER,0.9175,0.9468,0.9319
model32500_60,Overall,0.7273,0.6934,0.7099
model32500_60,LOC,0.6403,0.5894,0.6138
model32500_60,ORG,0.6357,0.5775,0.6052
model32500_60,PER,0.9086,0.9521,0.9299
model32500_65,Overall,0.7544,0.6806,0.7156
model32500_65,LOC,0.6692,0.5894,0.6268
model32500_65,ORG,0.671,0.5458,0.6019
model32500_65,PER,0.9091,0.9574,0.9326
model39000_60,Overall,0.7491,0.695,0.7211
model39000_60,LOC,0.6667,0.5695,0.6143
model39000_60,ORG,0.6667,0.5915,0.6269
model39000_60,PER,0.9086,0.9521,0.9299
model39000_65,Overall,0.7491,0.6806,0.7132
model39000_65,LOC,0.6693,0.5629,0.6115
model39000_65,ORG,0.6518,0.5669,0.6064
model39000_65,PER,0.9271,0.9468,0.9368
model443_90,Overall,0.2,0.0016,0.0032
model443_90,LOC,0,0.0,0
model443_90,ORG,0,0.0,0
model443_90,PER,0.2,0.0054,0.0105
model45500_60,Overall,0.7513,0.703,0.7264
model45500_60,LOC,0.694,0.6159,0.6526
model45500_60,ORG,0.6496,0.581,0.6134
model45500_60,PER,0.9231,0.9574,0.9399
model5115_80,Overall,0.7111,0.5153,0.5976
model5115_80,LOC,0.5701,0.404,0.4729
model5115_80,ORG,0.6149,0.3486,0.4449
model5115_80,PER,0.8791,0.8602,0.8696
model52000_60,Overall,0.7444,0.6966,0.7197
model52000_60,LOC,0.6522,0.596,0.6228
model52000_60,ORG,0.664,0.5775,0.6177
model52000_60,PER,0.9091,0.9574,0.9326
model6500_60,Overall,0.7002,0.6597,0.6793
model6500_60,LOC,0.5242,0.4305,0.4727
model6500_60,ORG,0.6302,0.588,0.6084
model6500_60,PER,0.904,0.9521,0.9275
model6500_65,Overall,0.7196,0.6549,0.6857
model6500_65,LOC,0.5565,0.457,0.5018
model6500_65,ORG,0.6414,0.5669,0.6019
model6500_65,PER,0.9271,0.9468,0.9368
model6500_70,Overall,0.7469,0.6726,0.7078
model6500_70,LOC,0.6299,0.5298,0.5755
model6500_70,ORG,0.6708,0.5669,0.6145
model6500_70,PER,0.9175,0.9468,0.9319
model6500_75,Overall,0.7396,0.6029,0.6643
model6500_75,LOC,0.625,0.4967,0.5535
model6500_75,ORG,0.6485,0.4613,0.5391
model6500_75,PER,0.9135,0.9037,0.9086
estbertner,Overall,0.7047,0.5072,0.5899
estbertner,LOC,0.2083,0.1325,0.1619
estbertner,ORG,0.7296,0.4085,0.5237
estbertner,PER,0.9323,0.9624,0.9471
opetaja,Overall,0.4513,0.4904,0.47
opetaja,LOC,0.2349,0.2532,0.2437
opetaja,ORG,0.4267,0.4613,0.4433
opetaja,PER,0.6634,0.7312,0.6957
tudeng,Overall,0.774,0.6982,0.7342
tudeng,LOC,0.7111,0.6358,0.6713
tudeng,ORG,0.7155,0.5825,0.6422
tudeng,PER,0.8872,0.9251,0.9058
