model,tag,precision,recall,f1
model12100_75,Overall,0.7722,0.5952,0.6722
model12100_75,LOC,0.6429,0.3333,0.439
model12100_75,ORG,0.6414,0.4006,0.4932
model12100_75,PER,0.9073,0.9442,0.9254
model13000_60,Overall,0.657,0.7116,0.6832
model13000_60,LOC,0.5333,0.2963,0.381
model13000_60,ORG,0.5398,0.5994,0.568
model13000_60,PER,0.8539,0.9492,0.899
model13000_65,Overall,0.6483,0.695,0.6708
model13000_65,LOC,0.4783,0.4074,0.44
model13000_65,ORG,0.5191,0.5584,0.538
model13000_65,PER,0.8704,0.9543,0.9104
model13000_70,Overall,0.6642,0.6617,0.663
model13000_70,LOC,0.6875,0.4074,0.5116
model13000_70,ORG,0.5194,0.5079,0.5136
model13000_70,PER,0.8732,0.9442,0.9073
model1787_85,Overall,0.8256,0.2625,0.3983
model1787_85,LOC,0.0,0.0,0.0
model1787_85,ORG,0.7143,0.0473,0.0888
model1787_85,PER,0.8944,0.6447,0.7493
model19500_60,Overall,0.6644,0.7209,0.6915
model19500_60,LOC,0.4545,0.3704,0.4082
model19500_60,ORG,0.5499,0.6088,0.5778
model19500_60,PER,0.8738,0.9492,0.91
model19500_65,Overall,0.7005,0.7394,0.7194
model19500_65,LOC,0.5714,0.2963,0.3902
model19500_65,ORG,0.5925,0.6467,0.6184
model19500_65,PER,0.8863,0.9492,0.9167
model19500_70,Overall,0.7247,0.6617,0.6918
model19500_70,LOC,0.7143,0.3704,0.4878
model19500_70,ORG,0.5833,0.5079,0.543
model19500_70,PER,0.9167,0.9492,0.9327
model22850_70,Overall,0.7036,0.658,0.68
model22850_70,LOC,0.5625,0.3333,0.4186
model22850_70,ORG,0.5649,0.5079,0.5349
model22850_70,PER,0.9073,0.9442,0.9254
model26000_60,Overall,0.6553,0.7098,0.6815
model26000_60,LOC,0.4737,0.3333,0.3913
model26000_60,ORG,0.5449,0.5931,0.568
model26000_60,PER,0.8423,0.9492,0.8926
model26000_65,Overall,0.7208,0.7301,0.7254
model26000_65,LOC,0.625,0.3704,0.4651
model26000_65,ORG,0.6188,0.6246,0.6217
model26000_65,PER,0.8821,0.9492,0.9144
model32500_60,Overall,0.7057,0.7579,0.7308
model32500_60,LOC,0.5882,0.3704,0.4545
model32500_60,ORG,0.6092,0.6688,0.6376
model32500_60,PER,0.8704,0.9543,0.9104
model32500_65,Overall,0.6738,0.7024,0.6878
model32500_65,LOC,0.4286,0.2222,0.2927
model32500_65,ORG,0.5633,0.5899,0.5763
model32500_65,PER,0.8578,0.9492,0.9012
model344_90,Overall,0.7642,0.1738,0.2831
model344_90,LOC,0.0,0.0,0.0
model344_90,ORG,0.0,0.0,0.0
model344_90,PER,0.7769,0.4772,0.5912
model39000_60,Overall,0.6834,0.7301,0.706
model39000_60,LOC,0.4091,0.3333,0.3673
model39000_60,ORG,0.5773,0.6246,0.6
model39000_60,PER,0.8826,0.9543,0.9171
model45500_60,Overall,0.6712,0.7283,0.6986
model45500_60,LOC,0.2083,0.1852,0.1961
model45500_60,ORG,0.5845,0.6435,0.6126
model45500_60,PER,0.8645,0.9391,0.9002
model5394_80,Overall,0.8209,0.4492,0.5806
model5394_80,LOC,0.5,0.2593,0.3415
model5394_80,ORG,0.6966,0.1956,0.3054
model5394_80,PER,0.9016,0.8832,0.8923
model57_95,Overall,0.0,0.0,0.0
model57_95,LOC,0.0,0.0,0.0
model57_95,ORG,0.0,0.0,0.0
model57_95,PER,0.0,0.0,0.0
model6500_60,Overall,0.6032,0.6913,0.6443
model6500_60,LOC,0.5,0.3333,0.4
model6500_60,ORG,0.4634,0.5584,0.5064
model6500_60,PER,0.8545,0.9543,0.9017
model6500_65,Overall,0.588,0.6543,0.6194
model6500_65,LOC,0.3,0.3333,0.3158
model6500_65,ORG,0.4489,0.4984,0.4723
model6500_65,PER,0.85,0.9492,0.8969
model6500_70,Overall,0.6407,0.6396,0.6401
model6500_70,LOC,0.375,0.2222,0.2791
model6500_70,ORG,0.4888,0.4826,0.4857
model6500_70,PER,0.8863,0.9492,0.9167
model6500_75,Overall,0.7317,0.5896,0.653
model6500_75,LOC,0.75,0.3333,0.4615
model6500_75,ORG,0.5748,0.388,0.4633
model6500_75,PER,0.8905,0.9492,0.9189
estbertner,Overall,0.6745,0.4787,0.56
estbertner,LOC,0.4194,0.4815,0.4483
estbertner,ORG,0.4357,0.1924,0.267
estbertner,PER,0.8685,0.9391,0.9024
opetaja,Overall,0.4008,0.5749,0.4723
opetaja,LOC,0.0556,0.1111,0.0741
opetaja,ORG,0.3512,0.4953,0.411
opetaja,PER,0.5491,0.7665,0.6398
tudeng,Overall,0.6154,0.679,0.6456
tudeng,LOC,0.5429,0.7037,0.6129
tudeng,ORG,0.5897,0.612,0.6006
tudeng,PER,0.6624,0.7828,0.7176
